n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
1,1,10,300,516,472,0.23882896764252695,0.019011406844106463,0.02074688796680498,0.36764705882352944,0.01984126984126984
1,2,477,541,275,6,0.783679753656659,0.6343085106382979,0.9875776397515528,0.6629901960784313,0.7724696356275303
1,3,479,522,294,4,0.7705927636643572,0.6196636481241915,0.9917184265010351,0.6397058823529411,0.7627388535031847
1,4,5,294,522,478,0.23017705927636645,0.009487666034155597,0.010351966873706004,0.3602941176470588,0.009900990099009901
1,5,478,516,300,4,0.765793528505393,0.6143958868894601,0.991701244813278,0.6323529411764706,0.7587301587301587
1,6,474,606,210,9,0.8314087759815243,0.6929824561403509,0.9813664596273292,0.7426470588235294,0.8123393316195373
1,7,3,281,535,480,0.21862971516551194,0.0055762081784386614,0.006211180124223602,0.3443627450980392,0.005876591576885407
1,8,9,289,527,474,0.2294072363356428,0.016791044776119403,0.018633540372670808,0.3541666666666667,0.017664376840039256
1,9,478,525,291,5,0.7721324095458044,0.6215864759427828,0.989648033126294,0.6433823529411765,0.7635782747603834
2,1,474,598,218,9,0.8252501924557352,0.684971098265896,0.9813664596273292,0.7328431372549019,0.8068085106382978
2,2,479,545,270,4,0.7889060092449923,0.6395193591455274,0.9917184265010351,0.6687116564417178,0.7775974025974026
2,3,10,276,540,473,0.2201693610469592,0.01818181818181818,0.020703933747412008,0.3382352941176471,0.01936108422071636
2,4,475,538,278,8,0.7798306389530408,0.6308100929614874,0.9834368530020704,0.6593137254901961,0.7686084142394822
2,5,8,281,535,475,0.2224788298691301,0.014732965009208104,0.016563146997929608,0.3443627450980392,0.015594541910331387
2,6,4,285,531,479,0.2224788298691301,0.007476635514018692,0.008281573498964804,0.3492647058823529,0.007858546168958744
2,7,8,283,533,475,0.22401847575057737,0.014787430683918669,0.016563146997929608,0.34681372549019607,0.015625
2,8,10,273,542,473,0.21802773497688752,0.018115942028985508,0.020703933747412008,0.33496932515337424,0.01932367149758454
2,9,5,304,512,478,0.23787528868360278,0.009671179883945842,0.010351966873706004,0.37254901960784315,0.01
3,1,3,305,511,480,0.23710546574287913,0.005836575875486381,0.006211180124223602,0.3737745098039216,0.006018054162487463
3,2,7,286,529,476,0.22573189522342066,0.013059701492537313,0.014492753623188406,0.350920245398773,0.013738959764474975
3,3,476,543,273,7,0.7844495765973826,0.6355140186915887,0.9855072463768116,0.6654411764705882,0.7727272727272727
3,4,9,300,516,474,0.23787528868360278,0.017142857142857144,0.018633540372670808,0.36764705882352944,0.017857142857142856
3,5,474,487,329,8,0.7403697996918336,0.5902864259028643,0.983402489626556,0.5968137254901961,0.7377431906614786
3,6,472,543,273,11,0.7813702848344881,0.6335570469798658,0.9772256728778468,0.6654411764705882,0.7687296416938112
3,7,5,287,528,478,0.22496147919876733,0.009380863039399626,0.010351966873706004,0.3521472392638037,0.00984251968503937
3,8,478,523,293,4,0.7711864406779662,0.6199740596627756,0.991701244813278,0.6409313725490197,0.7629688747007183
3,9,477,503,313,6,0.7544264819091608,0.6037974683544304,0.9875776397515528,0.616421568627451,0.7494108405341713
4,1,10,300,516,472,0.23882896764252695,0.019011406844106463,0.02074688796680498,0.36764705882352944,0.01984126984126984
4,2,478,521,294,5,0.7696456086286595,0.6191709844559585,0.989648033126294,0.6392638036809816,0.7617529880478087
4,3,7,277,539,476,0.21862971516551194,0.01282051282051282,0.014492753623188406,0.3394607843137255,0.01360544217687075
4,4,472,518,297,10,0.7632999228989977,0.6137841352405722,0.979253112033195,0.6355828220858896,0.7545963229416467
4,5,474,524,292,9,0.7682832948421863,0.618798955613577,0.9813664596273292,0.6421568627450981,0.7590072057646117
4,6,6,285,531,477,0.22401847575057737,0.0111731843575419,0.012422360248447204,0.3492647058823529,0.011764705882352943
4,7,10,301,515,473,0.23941493456505003,0.01904761904761905,0.020703933747412008,0.36887254901960786,0.019841269841269844
4,8,7,319,497,476,0.25096227867590454,0.013888888888888888,0.014492753623188406,0.3909313725490196,0.014184397163120567
4,9,12,287,529,471,0.23017705927636645,0.022181146025878003,0.024844720496894408,0.35171568627450983,0.0234375
5,1,475,509,307,8,0.7575057736720554,0.6074168797953964,0.9834368530020704,0.6237745098039216,0.7509881422924901
5,2,5,306,510,477,0.23959938366718028,0.009708737864077669,0.01037344398340249,0.375,0.010030090270812435
5,3,7,282,534,476,0.2224788298691301,0.012939001848428836,0.014492753623188406,0.34558823529411764,0.013671875000000002
5,4,475,504,312,8,0.7536566589684373,0.6035578144853876,0.9834368530020704,0.6176470588235294,0.7480314960629921
5,5,477,530,286,6,0.775211701308699,0.6251638269986893,0.9875776397515528,0.6495098039215687,0.7656500802568218
5,6,472,533,283,11,0.7736720554272517,0.6251655629139072,0.9772256728778468,0.6531862745098039,0.7625201938610662
5,7,473,526,290,10,0.76905311778291,0.6199213630406291,0.979296066252588,0.6446078431372549,0.7592295345104334
5,8,6,270,546,477,0.21247113163972287,0.010869565217391304,0.012422360248447204,0.33088235294117646,0.011594202898550725
5,9,5,301,515,478,0.23556581986143188,0.009615384615384616,0.010351966873706004,0.36887254901960786,0.009970089730807577
6,1,477,524,292,6,0.7705927636643572,0.6202860858257477,0.9875776397515528,0.6421568627450981,0.7619808306709266
6,2,5,288,528,478,0.22555812163202463,0.009380863039399626,0.010351966873706004,0.35294117647058826,0.00984251968503937
6,3,472,542,273,10,0.781804163454125,0.6335570469798658,0.979253112033195,0.6650306748466258,0.7693561532192339
6,4,475,549,267,8,0.7882986913010007,0.6401617250673854,0.9834368530020704,0.6727941176470589,0.7755102040816327
6,5,476,529,287,7,0.7736720554272517,0.6238532110091743,0.9855072463768116,0.6482843137254902,0.7640449438202247
6,6,7,286,530,476,0.22555812163202463,0.01303538175046555,0.014492753623188406,0.35049019607843135,0.01372549019607843
6,7,476,530,286,6,0.7750385208012327,0.6246719160104987,0.9875518672199171,0.6495098039215687,0.765273311897106
6,8,477,550,266,6,0.7906081601231717,0.6419919246298789,0.9875776397515528,0.6740196078431373,0.7781402936378466
6,9,476,524,291,6,0.7710100231303006,0.6205997392438071,0.9875518672199171,0.6429447852760736,0.7622097678142514
7,1,9,296,520,474,0.23479599692070824,0.017013232514177693,0.018633540372670808,0.3627450980392157,0.017786561264822132
7,2,8,305,511,475,0.2409545804464973,0.015414258188824663,0.016563146997929608,0.3737745098039216,0.01596806387225549
7,3,5,279,536,478,0.21879815100154082,0.009242144177449169,0.010351966873706004,0.3423312883435583,0.009765625
7,4,8,288,528,475,0.22786759045419552,0.014925373134328358,0.016563146997929608,0.35294117647058826,0.015701668302257114
7,5,472,515,301,10,0.7604006163328197,0.610608020698577,0.979253112033195,0.6311274509803921,0.7521912350597609
7,6,10,302,514,472,0.24036979969183359,0.019083969465648856,0.02074688796680498,0.3700980392156863,0.019880715705765408
