n_mfcc,round,center_0_x,center_0_y,center_1_x,center_1_y,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
1,0,-55.215294,-53.29385,-108.91243,-106.48515,476,524,292,6,0.7704160246533128,0.6197916666666666,0.9875518672199171,0.6421568627450981,0.7616
1,1,-55.533157,-53.63903,-107.828575,-105.542816,482,525,291,1,0.775211701308699,0.6235446313065977,0.9979296066252588,0.6433823529411765,0.7675159235668788
1,2,-54.501236,-52.64775,-108.930466,-106.66612,475,509,307,8,0.7575057736720554,0.6074168797953964,0.9834368530020704,0.6237745098039216,0.7509881422924901
1,3,-55.22455,-53.342316,-108.33067,-106.03859,477,502,313,6,0.7542372881355932,0.6037974683544304,0.9875776397515528,0.6159509202453988,0.7494108405341713
1,4,-54.805264,-53.02947,-107.74522,-105.495056,472,519,297,11,0.7628945342571208,0.6137841352405722,0.9772256728778468,0.6360294117647058,0.7539936102236422
1,5,-54.324356,-52.43057,-106.851685,-104.662796,473,535,281,10,0.7759815242494227,0.6273209549071618,0.979296066252588,0.6556372549019608,0.7647534357316087
1,6,-63.993042,-62.10592,-74.404884,-73.45765,474,615,201,9,0.8383371824480369,0.7022222222222222,0.9813664596273292,0.7536764705882353,0.8186528497409326
1,7,-55.747692,-53.86594,-108.60361,-106.529144,474,507,309,8,0.7557781201848999,0.6053639846743295,0.983402489626556,0.6213235294117647,0.7494071146245059
1,8,-55.171722,-53.30354,-107.92883,-105.480385,477,523,292,6,0.7704160246533128,0.6202860858257477,0.9875776397515528,0.6417177914110429,0.7619808306709266
1,9,-54.94642,-53.11224,-107.84239,-105.66478,478,523,293,5,0.7705927636643572,0.6199740596627756,0.989648033126294,0.6409313725490197,0.7623604465709729
2,0,-54.951294,10.024876,-106.000275,7.7700424,476,485,331,6,0.7403697996918336,0.5898389095415117,0.9875518672199171,0.5943627450980392,0.7385570209464701
2,1,-54.646168,9.882543,-107.56694,7.676056,472,522,294,11,0.7652040030792918,0.6161879895561357,0.9772256728778468,0.6397058823529411,0.7558046437149719
2,2,-54.48829,10.180558,-106.56758,7.820534,479,525,291,4,0.7729022324865281,0.6220779220779221,0.9917184265010351,0.6433823529411765,0.764565043894653
2,3,-54.46389,10.000061,-107.03174,7.76176,474,517,298,9,0.763482280431433,0.6139896373056994,0.9813664596273292,0.6343558282208589,0.7553784860557768
2,4,-54.24561,10.05055,-106.45997,8.151331,475,536,280,8,0.7782909930715936,0.6291390728476821,0.9834368530020704,0.6568627450980392,0.7673667205169629
2,5,-53.710808,10.139229,-106.59584,7.7609186,477,533,282,6,0.7781201848998459,0.6284584980237155,0.9875776397515528,0.6539877300613497,0.7681159420289855
2,6,-54.110992,10.042166,-107.12955,7.7962503,473,534,282,10,0.775211701308699,0.6264900662251656,0.979296066252588,0.6544117647058824,0.7641357027463651
2,7,-54.127266,10.112045,-107.31568,7.8412023,477,491,324,6,0.7457627118644068,0.5955056179775281,0.9875776397515528,0.6024539877300613,0.7429906542056074
2,8,-55.10067,10.138722,-106.038445,7.8943944,476,539,277,7,0.7813702848344881,0.6321381142098274,0.9855072463768116,0.6605392156862745,0.7702265372168284
2,9,-53.794487,10.136602,-106.34564,7.710311,477,517,299,6,0.7652040030792918,0.6146907216494846,0.9875776397515528,0.633578431372549,0.7577442414614773
3,0,-54.23707,10.126552,-106.88044,7.8478327,477,522,293,5,0.7702390131071704,0.6194805194805195,0.9896265560165975,0.6404907975460122,0.7619808306709266
3,1,-53.72007,10.212709,-105.91795,7.873235,472,532,284,10,0.773497688751926,0.6243386243386243,0.979253112033195,0.6519607843137255,0.7625201938610663
3,2,-54.622154,10.128207,-107.25899,7.807523,476,506,310,6,0.7565485362095532,0.6055979643765903,0.9875518672199171,0.6200980392156863,0.750788643533123
3,3,-55.52293,10.135556,-107.85631,7.9063497,478,508,308,4,0.7596302003081664,0.6081424936386769,0.991701244813278,0.6225490196078431,0.7539432176656151
3,4,-54.564224,10.086072,-105.54979,8.092973,473,538,278,10,0.7782909930715936,0.62982689747004,0.979296066252588,0.6593137254901961,0.766612641815235
3,5,-54.352543,10.029687,-107.12097,8.019966,476,516,300,7,0.7636643571978445,0.6134020618556701,0.9855072463768116,0.6323529411764706,0.7561556791104052
3,6,-54.323593,10.123056,-107.18062,7.866029,479,507,309,4,0.7590454195535027,0.6078680203045685,0.9917184265010351,0.6213235294117647,0.7537372147915028
3,7,-54.335125,10.081816,-105.97152,7.846684,477,535,281,6,0.7790608160123171,0.6292875989445911,0.9875776397515528,0.6556372549019608,0.7687348912167606
