n_mfcc,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_score_mean,f1_score_std
1,0.7731,0.0242,0.6244,0.0285,0.9855,0.0059,0.6475,0.0392,0.7641,0.0203
2,0.7666,0.0139,0.6169,0.0143,0.9849,0.0045,0.6374,0.0226,0.7585,0.0107
3,0.7685,0.0083,0.6184,0.0091,0.9861,0.0047,0.6398,0.0148,0.76,0.0061
4,0.7691,0.0064,0.6192,0.0064,0.9847,0.0054,0.6416,0.0098,0.7603,0.0053
5,0.7654,0.0122,0.6158,0.0128,0.983,0.0035,0.6366,0.0199,0.7571,0.0095
6,0.7715,0.008,0.6219,0.0088,0.9836,0.0067,0.646,0.014,0.7619,0.0063
7,0.7662,0.0098,0.6163,0.0102,0.9845,0.006,0.637,0.0158,0.758,0.0077
8,0.7686,0.0117,0.6187,0.0121,0.9853,0.0055,0.6404,0.0189,0.7601,0.0092
9,0.7666,0.0097,0.6174,0.0099,0.9797,0.0062,0.6404,0.015,0.7574,0.0079
10,0.7714,0.0069,0.6214,0.0068,0.9861,0.0053,0.6443,0.01,0.7624,0.0059
11,0.7673,0.0075,0.6179,0.0078,0.9809,0.0051,0.6409,0.0122,0.7582,0.006
12,0.7702,0.0065,0.6201,0.0065,0.9861,0.0031,0.6423,0.0092,0.7614,0.0055
13,0.7801,0.0107,0.631,0.0113,0.9845,0.0059,0.6591,0.0154,0.769,0.0093
14,0.7765,0.0192,0.6279,0.0223,0.983,0.0043,0.6544,0.0315,0.7661,0.0157
15,0.7798,0.0229,0.6325,0.0274,0.9803,0.0113,0.661,0.0416,0.7685,0.0173
16,0.7755,0.0228,0.628,0.0271,0.9787,0.0072,0.6552,0.0395,0.7647,0.0179
17,0.7774,0.014,0.6283,0.0151,0.9845,0.0047,0.6549,0.0227,0.7669,0.0111
18,0.7693,0.0129,0.6195,0.0134,0.9851,0.0049,0.6415,0.0207,0.7606,0.0102
19,0.7719,0.0217,0.6238,0.0252,0.9805,0.0068,0.6484,0.0369,0.7622,0.0172
20,0.7802,0.0176,0.6317,0.0203,0.9845,0.0049,0.6593,0.0284,0.7694,0.0146
21,0.7673,0.0124,0.618,0.0132,0.9814,0.0065,0.6405,0.0201,0.7583,0.0099
22,0.7726,0.0162,0.6232,0.0181,0.9851,0.006,0.6468,0.0261,0.7633,0.0134
23,0.7714,0.0061,0.622,0.0068,0.983,0.0062,0.6462,0.0115,0.7618,0.0045
24,0.7671,0.0114,0.6176,0.0114,0.9818,0.0065,0.6401,0.0167,0.7582,0.0095
25,0.7716,0.0067,0.6219,0.007,0.9845,0.0041,0.6456,0.0103,0.7623,0.0056
26,0.7758,0.0216,0.6276,0.025,0.9816,0.0061,0.6541,0.0348,0.7654,0.018
27,0.7832,0.0256,0.636,0.0299,0.9816,0.0065,0.6659,0.041,0.7715,0.0215
28,0.7746,0.0164,0.6252,0.0173,0.9842,0.0049,0.6506,0.0251,0.7646,0.0135
29,0.7828,0.0188,0.6344,0.022,0.9849,0.0072,0.6633,0.0304,0.7715,0.0158
30,0.778,0.017,0.6291,0.0188,0.9834,0.0039,0.6565,0.0263,0.7672,0.0142
31,0.776,0.0127,0.6264,0.0136,0.9861,0.0047,0.6517,0.0197,0.7661,0.0105
32,0.7803,0.0297,0.6333,0.0357,0.982,0.0077,0.661,0.0493,0.7694,0.0246
33,0.7687,0.012,0.6191,0.0119,0.9834,0.0062,0.6416,0.0162,0.7598,0.0105
34,0.7674,0.0172,0.6185,0.0185,0.9807,0.0065,0.6412,0.0281,0.7584,0.0136
35,0.7682,0.0094,0.6186,0.0096,0.9832,0.0071,0.641,0.0149,0.7594,0.0077
36,0.7765,0.0115,0.627,0.0123,0.9855,0.004,0.6529,0.0176,0.7664,0.0096
37,0.7762,0.0158,0.6277,0.0189,0.9814,0.0059,0.6548,0.0271,0.7655,0.0127
38,0.7793,0.02,0.6318,0.0241,0.9799,0.0081,0.6606,0.0351,0.7679,0.0157
39,0.7774,0.0185,0.6295,0.023,0.9803,0.0079,0.6573,0.0334,0.7664,0.0144
40,0.7735,0.011,0.6242,0.012,0.9832,0.0043,0.6493,0.019,0.7636,0.0084
