n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
1,1,334,669,147,148,0.7727272727272727,0.6943866943866944,0.6929460580912863,0.8198529411764706,0.6936656282450676
1,2,422,726,90,60,0.884437596302003,0.82421875,0.8755186721991701,0.8897058823529411,0.8490945674044266
1,3,386,661,155,96,0.8066255778120185,0.7134935304990758,0.8008298755186722,0.8100490196078431,0.7546432062561096
1,4,450,720,96,32,0.901386748844376,0.8241758241758241,0.9336099585062241,0.8823529411764706,0.8754863813229571
2,1,362,704,112,120,0.8212634822804314,0.7637130801687764,0.7510373443983402,0.8627450980392157,0.7573221757322175
2,2,458,764,52,24,0.9414483821263482,0.8980392156862745,0.950207468879668,0.9362745098039216,0.9233870967741935
2,3,374,709,107,108,0.8343605546995377,0.7775467775467776,0.7759336099585062,0.8688725490196079,0.7767393561786086
2,4,431,733,83,51,0.8967642526964561,0.8385214007782101,0.8941908713692946,0.8982843137254902,0.8654618473895582
3,1,355,712,104,127,0.8220338983050848,0.7734204793028322,0.7365145228215768,0.8725490196078431,0.7545164718384697
3,2,373,715,101,109,0.8382126348228043,0.7869198312236287,0.7738589211618258,0.8762254901960784,0.7803347280334728
3,3,430,726,90,52,0.8906009244992296,0.8269230769230769,0.8921161825726142,0.8897058823529411,0.8582834331337326
3,4,340,689,127,142,0.7927580893682589,0.728051391862955,0.7053941908713693,0.8443627450980392,0.7165437302423604
4,1,356,699,117,126,0.812788906009245,0.7526427061310782,0.7385892116182573,0.8566176470588235,0.7455497382198952
4,2,299,711,105,183,0.7781201848998459,0.7400990099009901,0.6203319502074689,0.8713235294117647,0.6749435665914221
4,3,454,763,53,28,0.9375963020030816,0.8954635108481263,0.941908713692946,0.9350490196078431,0.9180990899898889
4,4,449,756,60,33,0.9283513097072419,0.8821218074656189,0.9315352697095436,0.9264705882352942,0.9061553985872857
