n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
1,0,447,717,99,35,0.8967642526964561,0.8186813186813187,0.9273858921161826,0.8786764705882353,0.8696498054474707
1,1,442,719,97,40,0.8944530046224961,0.8200371057513914,0.91701244813278,0.8811274509803921,0.8658178256611165
1,2,365,675,141,117,0.8012326656394453,0.7213438735177866,0.7572614107883817,0.8272058823529411,0.7388663967611336
1,3,422,714,102,60,0.8751926040061633,0.8053435114503816,0.8755186721991701,0.875,0.8389662027833
1,4,438,733,83,44,0.9021571648690293,0.8406909788867563,0.9087136929460581,0.8982843137254902,0.8733798604187437
1,5,411,692,124,71,0.849768875192604,0.7682242990654206,0.8526970954356846,0.8480392156862745,0.8082595870206489
1,6,449,732,84,33,0.9098613251155624,0.8424015009380863,0.9315352697095436,0.8970588235294118,0.8847290640394089
1,7,423,695,121,59,0.8613251155624037,0.7775735294117647,0.8775933609958506,0.8517156862745098,0.8245614035087718
1,8,425,716,100,57,0.8790446841294299,0.8095238095238095,0.8817427385892116,0.8774509803921569,0.8440913604766633
1,9,351,691,125,131,0.802773497688752,0.7373949579831933,0.7282157676348547,0.8468137254901961,0.7327766179540709
2,0,334,689,127,148,0.788135593220339,0.7245119305856833,0.6929460580912863,0.8443627450980392,0.7083775185577942
2,1,396,706,110,86,0.8489984591679507,0.782608695652174,0.8215767634854771,0.8651960784313726,0.8016194331983805
2,2,444,740,76,38,0.9121725731895224,0.8538461538461538,0.921161825726141,0.9068627450980392,0.8862275449101795
2,3,358,719,97,124,0.8297380585516179,0.7868131868131868,0.7427385892116183,0.8811274509803921,0.7641408751334046
2,4,459,759,57,23,0.938366718027735,0.8895348837209303,0.9522821576763485,0.9301470588235294,0.9198396793587174
2,5,447,753,63,35,0.9244992295839753,0.8764705882352941,0.9273858921161826,0.9227941176470589,0.9012096774193549
2,6,422,731,85,60,0.8882896764252697,0.8323471400394478,0.8755186721991701,0.8958333333333334,0.8533872598584429
2,7,439,754,62,43,0.9191063174114021,0.8762475049900199,0.9107883817427386,0.9240196078431373,0.8931841302136317
2,8,458,768,48,24,0.9445300462249615,0.9051383399209486,0.950207468879668,0.9411764705882353,0.9271255060728745
2,9,344,688,128,138,0.7950693374422187,0.7288135593220338,0.7136929460580913,0.8431372549019608,0.721174004192872
3,0,350,692,124,132,0.802773497688752,0.7383966244725738,0.7261410788381742,0.8480392156862745,0.7322175732217573
3,1,414,729,87,68,0.8805855161787365,0.8263473053892215,0.8589211618257261,0.8933823529411765,0.8423194303153612
3,2,448,769,47,34,0.9375963020030816,0.9050505050505051,0.9294605809128631,0.9424019607843137,0.917093142272262
3,3,453,763,53,29,0.9368258859784283,0.8952569169960475,0.9398340248962656,0.9350490196078431,0.9170040485829959
3,4,458,754,62,24,0.9337442218798151,0.8807692307692307,0.950207468879668,0.9240196078431373,0.9141716566866267
3,5,442,761,55,40,0.9268104776579353,0.8893360160965795,0.91701244813278,0.9325980392156863,0.9029622063329928
3,6,456,750,66,26,0.9291217257318952,0.8735632183908046,0.946058091286307,0.9191176470588235,0.9083665338645419
3,7,450,759,57,32,0.9314329738058552,0.8875739644970414,0.9336099585062241,0.9301470588235294,0.9100101112234581
3,8,441,736,80,41,0.9067796610169492,0.8464491362763915,0.9149377593360996,0.9019607843137255,0.8793619142572282
3,9,449,756,60,33,0.9283513097072419,0.8821218074656189,0.9315352697095436,0.9264705882352942,0.9061553985872857
4,0,409,729,87,73,0.8767334360554699,0.8245967741935484,0.8485477178423236,0.8933823529411765,0.83640081799591
4,1,351,705,111,131,0.8135593220338984,0.7597402597402597,0.7282157676348547,0.8639705882352942,0.7436440677966102
4,2,385,722,94,97,0.8528505392912172,0.8037578288100209,0.7987551867219918,0.8848039215686274,0.801248699271592
4,3,345,703,113,137,0.8073959938366718,0.7532751091703057,0.7157676348547718,0.8615196078431373,0.7340425531914894
4,4,440,742,74,42,0.9106317411402157,0.8560311284046692,0.9128630705394191,0.9093137254901961,0.8835341365461846
4,5,327,691,125,155,0.7842835130970724,0.7234513274336283,0.6784232365145229,0.8468137254901961,0.7002141327623126
4,6,357,699,117,125,0.8135593220338984,0.7531645569620253,0.7406639004149378,0.8566176470588235,0.7468619246861924
4,7,358,710,106,124,0.8228043143297381,0.771551724137931,0.7427385892116183,0.8700980392156863,0.7568710359408034
