n_mfcc,true_positives,true_negatives,false_positives,false_negatives,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_score_mean,f1_score_std
1,4173,7084,1076,647,0.8673,0.039,0.7941,0.0416,0.8658,0.0699,0.8681,0.0235,0.8281,0.054
2,4101,7307,853,719,0.8789,0.059,0.8256,0.0661,0.8508,0.1008,0.8955,0.0357,0.8376,0.0826
3,4361,7469,691,459,0.9114,0.042,0.8625,0.0495,0.9048,0.0678,0.9153,0.028,0.883,0.0577
4,3799,7178,982,1021,0.8457,0.052,0.7924,0.0562,0.7882,0.092,0.8797,0.0288,0.7899,0.0738
5,3941,7314,846,879,0.8671,0.0703,0.8196,0.0803,0.8176,0.1239,0.8963,0.0408,0.8178,0.1014
6,4088,7338,822,732,0.8803,0.0633,0.8294,0.0722,0.8481,0.1118,0.8993,0.0355,0.8381,0.0918
7,3895,7237,923,925,0.8576,0.0637,0.8045,0.0673,0.8081,0.1242,0.8869,0.0328,0.8049,0.0965
8,4022,7275,885,798,0.8703,0.0589,0.8182,0.0676,0.8344,0.0983,0.8915,0.0394,0.8257,0.0814
9,4248,7466,694,572,0.9025,0.0607,0.8578,0.0713,0.8813,0.0972,0.915,0.0396,0.8692,0.0839
10,4244,7405,755,576,0.8975,0.0406,0.8483,0.0462,0.8805,0.0678,0.9075,0.0268,0.8639,0.0554
11,4286,7452,708,534,0.9043,0.0588,0.8555,0.064,0.8892,0.1051,0.9132,0.0323,0.8715,0.0842
12,4260,7392,768,560,0.8977,0.054,0.8448,0.0559,0.8838,0.1027,0.9059,0.0278,0.8631,0.0787
13,4271,7438,722,549,0.9021,0.0535,0.853,0.0568,0.8861,0.1008,0.9115,0.028,0.8685,0.0782
14,4226,7424,736,594,0.8975,0.0525,0.8495,0.0565,0.8768,0.095,0.9098,0.0288,0.8624,0.0753
15,4372,7494,666,448,0.9142,0.0438,0.8677,0.0564,0.9071,0.0631,0.9184,0.0341,0.8868,0.0588
16,4246,7498,662,574,0.9048,0.0644,0.8608,0.0708,0.8809,0.1244,0.9189,0.0313,0.8697,0.0989
17,3994,7355,805,826,0.8743,0.0893,0.8252,0.101,0.8286,0.1609,0.9013,0.0482,0.8256,0.1317
18,4249,7476,684,571,0.9033,0.0565,0.8585,0.0596,0.8815,0.1082,0.9162,0.0282,0.869,0.083
19,4400,7577,583,420,0.9227,0.0373,0.8818,0.0347,0.9129,0.0779,0.9286,0.0168,0.8964,0.0559
20,4362,7541,619,458,0.917,0.0338,0.8748,0.0318,0.905,0.0671,0.9241,0.0165,0.8892,0.0483
21,4359,7508,652,461,0.9143,0.0476,0.8692,0.0578,0.9044,0.0742,0.9201,0.0333,0.8863,0.0649
22,4036,7369,791,784,0.8787,0.08,0.8308,0.0903,0.8373,0.1436,0.9031,0.0441,0.833,0.1169
23,4262,7460,700,558,0.9031,0.0496,0.8569,0.0507,0.8842,0.0951,0.9142,0.0255,0.8696,0.0723
24,4350,7458,702,470,0.9097,0.0564,0.8588,0.0639,0.9025,0.0992,0.914,0.0327,0.8797,0.0812
25,4434,7580,580,386,0.9256,0.022,0.8843,0.026,0.9199,0.0403,0.9289,0.0155,0.9015,0.0307
26,4303,7429,731,517,0.9039,0.0353,0.854,0.0383,0.8927,0.0614,0.9104,0.0212,0.8728,0.0489
27,3937,7313,847,883,0.8667,0.0684,0.8194,0.0785,0.8168,0.1201,0.8962,0.0399,0.8174,0.0993
28,4136,7427,733,684,0.8908,0.0718,0.8448,0.0814,0.8581,0.1318,0.9102,0.038,0.8505,0.1068
29,4188,7406,754,632,0.8932,0.0675,0.8421,0.0668,0.8689,0.1398,0.9076,0.0274,0.8535,0.1053
30,4224,7398,762,596,0.8954,0.0657,0.8438,0.0704,0.8763,0.1213,0.9066,0.0361,0.8588,0.0948
31,4476,7556,604,344,0.927,0.0229,0.8817,0.0358,0.9286,0.0245,0.926,0.0237,0.9044,0.0292
32,4383,7514,646,437,0.9166,0.0284,0.8712,0.0306,0.9093,0.0527,0.9208,0.0179,0.8896,0.0393
33,4483,7578,582,337,0.9292,0.0345,0.8843,0.0366,0.9301,0.0625,0.9287,0.0195,0.9064,0.0485
34,4136,7411,749,684,0.8896,0.0651,0.8431,0.0721,0.8581,0.1176,0.9082,0.0355,0.8498,0.0948
35,4268,7534,626,552,0.9092,0.0575,0.8697,0.0663,0.8855,0.1004,0.9233,0.0335,0.8771,0.0831
36,4461,7539,621,359,0.9245,0.0428,0.8774,0.0528,0.9255,0.0639,0.9239,0.0314,0.9007,0.0575
37,4378,7501,659,442,0.9152,0.0378,0.8686,0.044,0.9083,0.0621,0.9192,0.0252,0.8878,0.052
38,4452,7521,639,368,0.9224,0.0311,0.8744,0.0385,0.9237,0.0469,0.9217,0.0237,0.8983,0.0416
39,4241,7409,751,579,0.8975,0.0517,0.8466,0.0498,0.8799,0.1068,0.908,0.0216,0.8619,0.079
40,4278,7457,703,542,0.9041,0.0525,0.8565,0.056,0.8876,0.0985,0.9138,0.0273,0.8711,0.0766
