n_mfcc,true_positives,true_negatives,false_positives,false_negatives,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_score_mean,f1_score_std
1,4364,5509,2651,456,0.7606,0.0522,0.626,0.0565,0.9054,0.0265,0.6751,0.0751,0.7392,0.0453
2,4281,5792,2368,539,0.776,0.0339,0.6461,0.0407,0.8882,0.0205,0.7098,0.0524,0.7474,0.0296
3,4488,6611,1549,332,0.8551,0.0143,0.7437,0.0184,0.9311,0.0176,0.8102,0.0167,0.8268,0.0162
4,4576,6748,1412,244,0.8724,0.0075,0.7644,0.0123,0.9494,0.0104,0.827,0.0124,0.8468,0.008
5,4607,6815,1345,213,0.88,0.0143,0.7748,0.0251,0.9558,0.0143,0.8352,0.0244,0.8556,0.0149
6,4357,7046,1114,463,0.8785,0.0555,0.7928,0.0528,0.9039,0.1233,0.8635,0.0202,0.8433,0.0866
7,4031,7325,835,789,0.8749,0.082,0.8222,0.0871,0.8363,0.1604,0.8977,0.0415,0.827,0.1226
8,3467,7160,1000,1353,0.8187,0.1034,0.7635,0.1213,0.7193,0.1977,0.8775,0.0505,0.7379,0.1613
9,4233,7462,698,587,0.901,0.0601,0.8552,0.0606,0.8782,0.1194,0.9145,0.0287,0.8653,0.0888
10,4085,7340,820,735,0.8802,0.069,0.8292,0.0775,0.8475,0.12,0.8995,0.0394,0.8377,0.0987
11,3976,7395,765,844,0.876,0.0817,0.8328,0.0921,0.8249,0.1475,0.9062,0.0445,0.8277,0.1202
12,4254,7444,716,566,0.9012,0.0538,0.8539,0.0587,0.8826,0.0936,0.9123,0.0312,0.8677,0.0755
13,4259,7447,713,561,0.9018,0.0646,0.8525,0.0709,0.8836,0.126,0.9126,0.0322,0.8665,0.0992
14,4174,7422,738,646,0.8934,0.0443,0.8482,0.0438,0.866,0.0883,0.9096,0.023,0.8562,0.0644
15,4189,7406,754,631,0.8933,0.0505,0.846,0.0583,0.8691,0.0834,0.9076,0.0317,0.8572,0.0705
16,4424,7600,560,396,0.9263,0.0271,0.8875,0.0331,0.9178,0.0468,0.9314,0.0195,0.9022,0.0375
17,4415,7475,685,405,0.916,0.0303,0.8663,0.0416,0.916,0.0393,0.9161,0.0285,0.8903,0.0385
18,4450,7475,685,370,0.9187,0.019,0.8668,0.0257,0.9232,0.0264,0.9161,0.0168,0.894,0.0247
19,4372,7497,663,448,0.9144,0.0349,0.868,0.0424,0.9071,0.0539,0.9188,0.0248,0.887,0.0475
20,4450,7524,636,370,0.9225,0.0064,0.8751,0.0107,0.9232,0.0189,0.9221,0.0084,0.8984,0.009
21,4464,7557,603,356,0.9261,0.0266,0.8809,0.0332,0.9261,0.0384,0.9261,0.0203,0.9029,0.0352
22,4415,7451,709,405,0.9142,0.029,0.8618,0.0384,0.916,0.0401,0.9131,0.0245,0.888,0.0381
23,4249,7331,829,571,0.8921,0.0475,0.8352,0.0518,0.8815,0.0851,0.8984,0.0277,0.8573,0.0674
24,4412,7506,654,408,0.9182,0.02,0.8708,0.0211,0.9154,0.038,0.9199,0.0125,0.8923,0.0275
25,4347,7449,711,473,0.9088,0.0378,0.8588,0.0427,0.9019,0.0647,0.9129,0.0243,0.8795,0.0523
26,4389,7408,752,431,0.9089,0.0291,0.8539,0.0379,0.9106,0.0425,0.9078,0.0241,0.8812,0.0384
27,4301,7445,715,519,0.9049,0.0423,0.8564,0.0462,0.8923,0.0741,0.9124,0.0254,0.8737,0.0591
28,4440,7474,686,380,0.9179,0.0162,0.8665,0.0236,0.9212,0.0269,0.9159,0.0158,0.8928,0.0215
29,4100,7293,867,720,0.8777,0.0489,0.8239,0.0535,0.8506,0.0874,0.8938,0.029,0.8366,0.0694
30,4264,7367,793,556,0.8961,0.0364,0.843,0.044,0.8846,0.0593,0.9028,0.0266,0.863,0.0496
31,4393,7411,749,427,0.9094,0.0234,0.8543,0.0292,0.9114,0.0364,0.9082,0.0182,0.8819,0.0313
32,4366,7405,755,454,0.9069,0.034,0.8523,0.041,0.9058,0.0522,0.9075,0.0243,0.8781,0.0458
33,4189,7282,878,631,0.8837,0.0538,0.8248,0.0571,0.8691,0.0989,0.8924,0.0309,0.8457,0.0762
34,4428,7459,701,392,0.9158,0.0275,0.8639,0.0395,0.9187,0.0313,0.9141,0.0263,0.8903,0.0349
35,4272,7329,831,548,0.8938,0.0578,0.835,0.0641,0.8863,0.0998,0.8982,0.0341,0.8595,0.0809
36,4264,7341,819,556,0.8941,0.0552,0.8368,0.0623,0.8846,0.0963,0.8996,0.0325,0.8597,0.0784
37,4459,7450,710,361,0.9175,0.0127,0.8632,0.0242,0.9251,0.01,0.913,0.0176,0.8929,0.0153
38,4196,7305,855,624,0.8861,0.0539,0.8281,0.0549,0.8705,0.1031,0.8952,0.0264,0.8481,0.0781
39,4475,7459,701,345,0.9194,0.0139,0.8648,0.0211,0.9284,0.0154,0.9141,0.0146,0.8954,0.0175
40,4109,7197,963,711,0.871,0.0375,0.8096,0.0427,0.8525,0.0631,0.882,0.025,0.8303,0.0513
